;;;;;;;;;;;;x,,,,,,,,,,,,,
return_core_on_title;Enable 'Return Cores' decisions;;;;;;;;;;;;x,,
return_core_on_desc;The Return Cores decisions allow you to return cores of vassals and spherelings, as long as you don't have a core in the province, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;;;;;;;;;;;;x
return_core_off_title;Disable 'Return Cores' decisions;;;;;;;;;;;;x,,
return_core_off_desc;Your decision list will now be uncluttered.;;;;;;;;;;;;x,,
return_core_disabled_title;Deactivate 'Return Cores' decisions;;;;;;;;;;;;x,,
return_core_disabled_desc;The 'Return Cores' decisions will disappear from this game session and won't reappear again. You won't be able to use these decisions again for this game.;;;;;;;;;;;;x,,
return_cores_AAC_title;Return cores to Aachen;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AAC_desc;We hold provinces that Aachen has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ABB_title;Return cores to Dongola;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ABB_desc;We hold provinces that Dongola has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ABE_title;Return cores to Abenaki;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ABE_desc;We hold provinces that Abenaki has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ABI_title;Return cores to Abihka;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ABI_desc;We hold provinces that Abihka has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ABU_title;Return cores to Sharjah;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ABU_desc;We hold provinces that Sharjah has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ACO_title;Return cores to Acoma;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ACO_desc;We hold provinces that Acoma has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ADA_title;Return cores to Adal;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ADA_desc;We hold provinces that Adal has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ADE_title;Return cores to Aden;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ADE_desc;We hold provinces that Aden has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AFG_title;Return cores to Afghanistan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AFG_desc;We hold provinces that Afghanistan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AGG_title;Return cores to Attigneenongnahac;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AGG_desc;We hold provinces that Attigneenongnahac has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AIN_title;Return cores to Ainu;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AIN_desc;We hold provinces that Ainu has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AJU_title;Return cores to Ajuuraan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AJU_desc;We hold provinces that Ajuuraan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AKH_title;Return cores to Astrakhan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AKH_desc;We hold provinces that Astrakhan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AKK_title;Return cores to Aq Qoyunlu;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AKK_desc;We hold provinces that Aq Qoyunlu has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ALB_title;Return cores to Albania;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ALB_desc;We hold provinces that Albania has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ALD_title;Return cores to Algiers;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ALD_desc;We hold provinces that Algiers has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ALE_title;Return cores to Alençon;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ALE_desc;We hold provinces that Alençon has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ALH_title;Return cores to Haasa;;;;;;;;;;;;;;;;;;;;x,,
